ASV,Kingdom,Phylum,Class,Order,Family,Genus,Site,Hours,Oxygen,Label,baseMean,log2FoldChange,lfcSE,pvalue,padj
Seq_185,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Unclassified,Unclassified,Čertovo,48 h,Oxic,Labelled,59.88381006189162,0.6087149085595641,0.12721630239784826,8.179848773567167e-4,0.018977249154675826
Seq_85,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Čertovo,48 h,Oxic,Labelled,62.93099769336579,1.6189804701667092,0.3384502924893994,2.655606885958009e-7,1.1486625038923457e-5
Seq_388,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Čertovo,48 h,Oxic,Labelled,66.37549855213256,7.359250370015865,1.069027201550755,4.208546539679039e-13,4.881913986027685e-11
Seq_112,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Čertovo,48 h,Oxic,Labelled,74.46302928303842,0.6756986387858177,0.1297777421739147,1.2604245480335013e-4,0.00342191856019308
Seq_546,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,Čertovo,48 h,Oxic,Labelled,84.4252756166432,4.62212429558322,0.6327745529822684,7.440519279361743e-13,8.255741391709203e-11
Seq_378,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Čertovo,48 h,Oxic,Labelled,84.7373023818505,4.0006559161433435,0.550401766215312,2.054456929536212e-12,2.0971896336705651e-10
Seq_80,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Čertovo,48 h,Oxic,Labelled,85.37912369651184,0.6620509925496002,0.17280310193634726,0.0016485278285573923,0.03595763263656808
Seq_408,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Elsteraceae,Aliidongia,Čertovo,48 h,Oxic,Labelled,95.55676780944911,4.832432499846343,0.5155776591324638,9.284996353087529e-20,3.3850443847256243e-17
Seq_175,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Unclassified,Čertovo,48 h,Oxic,Labelled,99.51990637673418,0.9043097607227771,0.13393465352388514,2.1122503956145115e-8,1.1000944917567823e-6
Seq_24,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Čertovo,48 h,Oxic,Labelled,101.48024982682695,1.075357710375354,0.21184718113000947,3.1896871681085e-7,1.3566802755021485e-5
Seq_109,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Čertovo,48 h,Oxic,Labelled,108.75083956073681,1.936432687718601,0.2608915171537147,1.1282825539099945e-11,1.1074527221455025e-9
Seq_569,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Čertovo,48 h,Oxic,Labelled,114.02686964100387,5.759276685281229,0.7516346096318746,1.64015252824022e-14,2.616043282543151e-12
Seq_55,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Čertovo,48 h,Oxic,Labelled,124.70088180085631,1.0605068188981157,0.17311065480165158,9.768421061466394e-9,5.665684215650508e-7
Seq_52,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Čertovo,48 h,Oxic,Labelled,153.27853373394157,0.6747909676460446,0.10702901979151055,1.0818120467328047e-5,3.781896360633038e-4
Seq_333,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Čertovo,48 h,Oxic,Labelled,154.29431383905853,5.291026446732769,0.6918019085809225,3.1896794876447246e-14,4.522256695816298e-12
Seq_172,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Čertovo,48 h,Oxic,Labelled,239.32390886442442,4.552067823671478,0.4869020688803063,1.7596616633005263e-19,5.61332070592868e-17
Seq_138,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Čertovo,48 h,Oxic,Labelled,309.4196044964313,4.456089365253054,0.5067494638954876,1.8919343832389846e-17,4.023513788354907e-15
Seq_26,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Occallatibacter,Čertovo,48 h,Oxic,Labelled,322.7245554124752,2.928212952414576,0.383243901465633,9.76071030643889e-13,1.0378888625846685e-10
Seq_122,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Čertovo,48 h,Oxic,Labelled,325.55133437536574,4.9049442397742675,0.5344255457936842,4.2818936059443984e-19,1.214154720263345e-16
Seq_74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Čertovo,48 h,Oxic,Labelled,346.9364790163463,5.180907516042602,0.5729189417323303,8.8054421135416e-19,2.247148827375816e-16
Seq_49,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Čertovo,48 h,Oxic,Labelled,406.1635124378932,5.524855290991553,0.7068658379388936,7.294801106237305e-15,1.329738030222686e-12
Seq_41,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Čertovo,48 h,Oxic,Labelled,474.7516341219708,2.8272046984440644,0.3117872912584358,5.577959518629127e-17,1.0949963608878101e-14
Seq_19,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Čertovo,48 h,Oxic,Labelled,493.2385271832241,0.7149635391283247,0.16891939745297838,4.3074740248522157e-4,0.010469213058497956
Seq_105,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptacidiphilus,Čertovo,48 h,Oxic,Labelled,515.7264793681657,5.35258732248139,0.5644662639146318,1.6733877948495093e-20,1.423495217485316e-17
Seq_97,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Unclassified,Čertovo,48 h,Oxic,Labelled,598.2951474807534,5.039053982410363,0.5340033173725325,3.952313955357771e-20,2.017261042814606e-17
Seq_17,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Čertovo,48 h,Oxic,Labelled,655.8833782416291,0.6086588763926982,0.11259644192527478,2.7566280627344615e-4,0.006965262194156778
Seq_44,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Čertovo,48 h,Oxic,Labelled,1109.666512103936,5.3355609957897965,0.5708307684611164,5.507170314834209e-20,2.3423831072428166e-17
Seq_15,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Čertovo,48 h,Oxic,Labelled,2875.1100851192245,5.306108556582208,0.5352980043510044,3.978259928664381e-22,6.748680413822761e-19
Seq_20,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Čertovo,48 h,Oxic,Labelled,3037.8462230795612,6.053509050523824,0.6202391330044996,5.288934493591505e-22,6.748680413822761e-19
Seq_8,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Čertovo,48 h,Oxic,Labelled,3579.7225143807705,4.814717932429415,0.5058242945606162,2.747134488675147e-20,1.752671803774744e-17
Seq_3169,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Unclassified,Unclassified,Čertovo,72 h,Oxic,Labelled,1.5711439445879156,1.8596938243334982,1.517774601171324,0.0016028526257378696,0.02077085055501636
Seq_2582,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,Čertovo,72 h,Oxic,Labelled,1.7740526225369109,1.4099111450908233,1.3006259598093026,0.003654112007739564,0.04275856438907191
Seq_825,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Arsenicitalea,Čertovo,72 h,Oxic,Labelled,2.1160696934206173,1.3561119179834995,1.3768443560073966,0.004378010381625202,0.048464076889420026
Seq_1257,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Unclassified,Čertovo,72 h,Oxic,Labelled,2.148869925976833,1.487312124640583,1.4098645512889834,0.0032958621235476757,0.03975511515970099
Seq_4273,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Čertovo,72 h,Oxic,Labelled,2.6259412935764415,2.127117444298535,1.577874598814487,0.0010040397944147145,0.014056557121806004
Seq_1543,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Finegoldia,Unclassified,Čertovo,72 h,Oxic,Unlabelled,2.6314453446776445,4.274259147610457,1.7552022302723334,1.0965008973932233e-5,0.005433161946583422
Seq_281,Bacteria,Actinobacteriota,Acidimicrobiia,Unclassified,Unclassified,Unclassified,Čertovo,72 h,Oxic,Labelled,2.7786594002657825,2.7317804049563685,1.7759900123826435,4.411670852046444e-4,0.006946586298017637
Seq_712,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Čertovo,72 h,Oxic,Unlabelled,2.794418446345026,4.073838239903561,1.9480792165924332,1.8018652077669743e-5,0.006696181578364018
Seq_1300,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Unclassified,Unclassified,Čertovo,72 h,Oxic,Labelled,2.9595349934025363,3.887466674547079,1.301862951557339,2.1746387688142435e-5,5.166414529546566e-4
Seq_1590,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodopila,Čertovo,72 h,Oxic,Labelled,2.97929054247921,1.203483516702984,0.9271669114587876,0.004388966146873497,0.048464076889420026
Seq_73,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Čertovo,72 h,Oxic,Labelled,2.998634580673628,3.296701979583247,1.6531854650206113,1.5145149877064985e-4,0.002861156024968421
Seq_1724,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Čertovo,72 h,Oxic,Labelled,3.671840998082745,3.133594389830416,1.5717727909936066,1.6736398731558502e-4,0.003087373318951027
Seq_3095,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Čertovo,72 h,Oxic,Labelled,3.893851644939298,1.2235968602958454,0.9461125917875384,0.0041909466223554815,0.047276289955779816
Seq_2220,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Čertovo,72 h,Oxic,Labelled,4.10260561490826,1.5687878476155943,1.7897894075947403,0.002793618762027194,0.03476503348300508
Seq_1830,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Čertovo,72 h,Oxic,Labelled,4.365438186135338,1.7452387516777585,1.2376989547063357,0.0013622203715049097,0.017949256659829396
Seq_1310,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidicaldus,Čertovo,72 h,Oxic,Labelled,4.392557289213861,1.3762451143541767,0.78895463415425,0.0014688916133952725,0.019193517081698225
Seq_1806,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Čertovo,72 h,Oxic,Labelled,4.64516664975496,2.663878200752122,2.006903855103914,5.602728134851615e-4,0.008366740681378411
Seq_1654,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Unclassified,Čertovo,72 h,Oxic,Labelled,4.669339509714171,1.7964853746804246,1.8980316838791067,0.0019154736671219428,0.02422147346812263
Seq_1460,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Čertovo,72 h,Oxic,Labelled,4.938424933736133,1.567148512831863,0.9962420994786337,0.001302128374716776,0.01748922654133713
Seq_838,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Čertovo,72 h,Oxic,Labelled,4.966767991202999,3.8323719240740854,1.4392176234817597,3.8964037307778694e-5,8.984648602734852e-4
Seq_1453,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Čertovo,72 h,Oxic,Labelled,5.092759986513809,1.514086865490869,0.9087298545659004,0.0012095859589280826,0.016637112136835382
Seq_1058,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,Čertovo,72 h,Oxic,Labelled,5.1561692067273475,4.711696874373392,1.1446368368002109,1.502865770329671e-6,6.554137800198135e-5
Seq_1090,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Čertovo,72 h,Oxic,Labelled,5.215354277602222,2.8265757860746383,1.0913185565144616,5.352423515502877e-5,0.0011989428674726444
Seq_2153,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Unclassified,Unclassified,Čertovo,72 h,Oxic,Labelled,5.2440889299774,4.691311834253558,1.1758272684950228,2.0570451708530207e-6,7.679635304517945e-5
